millisecs |yr|mo|da|hr|mi|se|volt   |ampere |watt   
0000033687|21|02|23|10|03|49|039.501|000.681|026.912
0000033787|21|02|23|10|03|49|039.671|000.192|007.638
0000033888|21|02|23|10|03|49|039.804|000.185|007.369
0000033987|21|02|23|10|03|49|039.746|000.118|004.709
0000034087|21|02|23|10|03|49|039.427|001.436|056.643
0000034188|21|02|23|10|03|49|038.448|004.724|181.657
0000034287|21|02|23|10|03|49|037.624|007.605|286.148
0000034387|21|02|23|10|03|49|038.230|003.821|146.087
0000034488|21|02|23|10|03|49|039.469|000.770|030.398
0000034587|21|02|23|10|03|50|039.565|000.540|021.388
0000034687|21|02|23|10|03|50|039.650|000.207|008.221
0000034788|21|02|23|10|03|50|039.698|000.037|001.469
0000034887|21|02|23|10|03|50|039.703|000.014|000.588
0000034987|21|02|23|10|03|50|039.692|000.111|004.409
0000035088|21|02|23|10|03|50|039.687|000.170|006.759
0000035187|21|02|23|10|03|50|039.682|000.236|009.403
0000035287|21|02|23|10|03|50|039.618|000.348|013.789
0000035388|21|02|23|10|03|50|039.421|001.214|047.877
0000035487|21|02|23|10|03|50|038.911|003.021|117.567
0000035587|21|02|23|10|03|51|037.374|009.286|347.076
0000035687|21|02|23|10|03|51|037.167|007.568|281.294
0000035787|21|02|23|10|03|51|038.890|002.799|108.863
0000035887|21|02|23|10|03|51|039.294|001.562|061.398
0000035987|21|02|23|10|03|51|039.198|001.888|074.021
0000036087|21|02|23|10|03|51|039.007|002.643|103.124
0000036187|21|02|23|10|03|51|039.022|002.406|093.919
0000036287|21|02|23|10|03|51|039.097|002.362|092.361
0000036387|21|02|23|10|03|51|038.980|002.503|097.569
0000036487|21|02|23|10|03|51|038.975|002.562|099.865
0000036587|21|02|23|10|03|52|038.959|002.466|096.073
0000036687|21|02|23|10|03|52|038.863|003.228|125.481
0000036787|21|02|23|10|03|52|038.916|003.095|120.465
0000036887|21|02|23|10|03|52|038.852|002.932|113.937
0000036987|21|02|23|10|03|52|038.959|002.939|114.538
0000037088|21|02|23|10|03|52|038.975|002.406|093.803
0000037187|21|02|23|10|03|52|039.054|002.221|086.765
0000037287|21|02|23|10|03|52|039.123|002.029|079.386
0000037388|21|02|23|10|03|52|039.145|002.088|081.748
0000037487|21|02|23|10|03|52|039.235|001.503|058.983
0000037587|21|02|23|10|03|53|039.512|000.607|023.993
0000037688|21|02|23|10|03|53|039.724|000.118|004.706
0000037787|21|02|23|10|03|53|039.772|000.325|012.959
0000037887|21|02|23|10|03|53|039.804|000.266|010.611
0000037988|21|02|23|10|03|53|039.724|000.029|001.176
0000038087|21|02|23|10|03|53|039.698|000.074|002.939
0000038187|21|02|23|10|03|53|039.629|000.414|016.434
0000038288|21|02|23|10|03|53|039.544|000.651|025.769
0000038387|21|02|23|10|03|53|039.506|000.666|026.330
0000038487|21|02|23|10|03|53|039.474|000.984|038.879
0000038588|21|02|23|10|03|54|039.326|001.214|047.761
0000038687|21|02|23|10|03|54|039.246|001.606|063.067
0000038787|21|02|23|10|03|54|039.219|001.873|073.481
0000038887|21|02|23|10|03|54|039.054|002.354|091.971
0000038987|21|02|23|10|03|54|038.794|003.317|128.705
0000039087|21|02|23|10|03|54|039.108|002.029|079.353
0000039187|21|02|23|10|03|54|039.283|001.310|051.491
0000039287|21|02|23|10|03|54|039.342|000.999|039.331
0000039387|21|02|23|10|03|54|039.272|001.362|053.513
0000039487|21|02|23|10|03|54|039.123|002.140|083.731
0000039587|21|02|23|10|03|55|039.118|001.918|075.029
0000039687|21|02|23|10|03|55|039.177|001.903|074.561
0000039787|21|02|23|10|03|55|039.118|002.369|092.701
0000039887|21|02|23|10|03|55|039.044|002.554|099.753
0000039987|21|02|23|10|03|55|038.969|002.754|107.354
0000040087|21|02|23|10|03|55|038.836|003.176|123.382
0000040187|21|02|23|10|03|55|038.714|003.599|139.335
0000040288|21|02|23|10|03|55|038.656|003.532|136.548
0000040387|21|02|23|10|03|55|038.804|003.236|125.579
0000040487|21|02|23|10|03|55|038.863|002.873|111.666
0000040588|21|02|23|10|03|56|039.108|002.184|085.435
0000040712|21|02|23|10|03|56|039.219|001.681|065.929
0000040811|21|02|23|10|03|56|039.235|001.518|059.564
0000040911|21|02|23|10|03|56|039.357|001.096|043.136
0000041011|21|02|23|10|03|56|039.639|000.111|004.403
0000041111|21|02|23|10|03|56|039.772|000.311|012.370
0000041211|21|02|23|10|03|56|039.671|000.051|002.056
0000041312|21|02|23|10|03|56|039.613|000.318|012.614
0000041411|21|02|23|10|03|56|039.650|000.037|001.468
0000041511|21|02|23|10|03|56|039.427|000.784|030.949
0000041612|21|02|23|10|03|57|039.272|001.621|063.692
0000041711|21|02|23|10|03|57|039.209|001.836|072.009
0000041811|21|02|23|10|03|57|039.155|001.888|073.941
0000041912|21|02|23|10|03|57|039.209|001.792|070.267
0000042011|21|02|23|10|03|57|039.283|001.444|056.727
0000042111|21|02|23|10|03|57|039.225|001.606|063.033
0000042212|21|02|23|10|03|57|039.150|001.747|068.422
0000042311|21|02|23|10|03|57|039.123|002.073|081.124
0000042411|21|02|23|10|03|57|039.092|002.110|082.505
0000042512|21|02|23|10|03|57|039.097|002.073|081.069
0000042611|21|02|23|10|03|58|039.044|002.184|085.296
0000042711|21|02|23|10|03|58|039.272|001.629|063.983
0000042812|21|02|23|10|03|58|039.262|001.384|054.370
0000042911|21|02|23|10|03|58|039.352|001.207|047.501
0000043011|21|02|23|10|03|58|039.283|001.525|059.927
0000043111|21|02|23|10|03|58|039.299|001.303|051.221
0000043211|21|02|23|10|03|58|039.342|001.318|051.859
0000043311|21|02|23|10|03|58|039.331|001.251|049.223
0000043411|21|02|23|10|03|58|039.288|001.429|056.153
0000043511|21|02|23|10|03|58|039.166|001.710|067.000
0000043611|21|02|23|10|03|59|039.214|001.651|064.759
0000043711|21|02|23|10|03|59|039.230|001.621|063.623
0000043811|21|02|23|10|03|59|039.198|001.481|058.056
0000043911|21|02|23|10|03|59|039.432|000.814|032.121
0000044011|21|02|23|10|03|59|039.512|000.466|018.434
0000044111|21|02|23|10|03|59|039.538|000.481|019.032
0000044211|21|02|23|10|03|59|039.416|001.044|041.157
0000044311|21|02|23|10|03|59|039.336|001.066|041.947
0000044411|21|02|23|10|03|59|039.490|000.733|028.952
0000044512|21|02|23|10|03|59|039.304|001.192|046.862
0000044611|21|02|23|10|04|00|039.225|001.555|061.000
0000044711|21|02|23|10|04|00|039.049|002.199|085.886
0000044812|21|02|23|10|04|00|038.661|004.280|165.483
0000044911|21|02|23|10|04|00|038.331|003.606|138.241
0000045011|21|02|23|10|04|00|038.751|002.991|115.937
0000045112|21|02|23|10|04|00|038.874|003.036|118.030
0000045211|21|02|23|10|04|00|038.512|004.191|161.424
0000045311|21|02|23|10|04|00|037.837|006.272|237.330
0000045412|21|02|23|10|04|00|037.305|008.412|313.835
0000045511|21|02|23|10|04|00|037.316|008.479|316.411
0000045611|21|02|23|10|04|01|037.555|007.420|278.670
0000045712|21|02|23|10|04|01|038.039|005.354|203.667
0000045811|21|02|23|10|04|01|038.145|005.339|203.671
0000045911|21|02|23|10|04|01|038.555|003.695|142.472
0000046012|21|02|23|10|04|01|038.884|002.665|103.664
0000046111|21|02|23|10|04|01|039.171|001.629|063.818
0000046211|21|02|23|10|04|01|039.554|000.066|002.636
0000046311|21|02|23|10|04|01|039.926|001.096|043.760
0000046411|21|02|23|10|04|01|040.017|001.140|045.637
0000046511|21|02|23|10|04|01|039.910|001.147|045.811
0000046611|21|02|23|10|04|02|039.336|001.007|039.617
0000046711|21|02|23|10|04|02|039.166|001.681|065.840
0000046811|21|02|23|10|04|02|038.517|004.280|164.869
0000046911|21|02|23|10|04|02|034.997|017.758|621.499
0000047011|21|02|23|10|04|02|033.429|020.653|690.439
0000047111|21|02|23|10|04|02|033.285|022.490|748.605
0000047211|21|02|23|10|04|02|033.471|021.727|727.259
0000047311|21|02|23|10|04|02|035.396|015.040|532.380
0000047411|21|02|23|10|04|02|038.937|002.095|081.603
